,"w=0.7,a1=1.6,a2=0.6"
312,2.1866547046105356
313,2.1866547046105356
314,2.1866547046105356
315,2.1866547046105356
316,2.1866547046105356
317,2.1866547046105356
318,2.1866547046105356
319,2.1866547046105356
320,2.1866547046105356
321,2.1326856830243885
322,2.1326856830243885
323,2.1326856830243885
324,2.1326856830243885
325,2.1326856830243885
326,2.1326856830243885
327,2.1326856830243885
328,2.1326856830243885
329,2.1326856830243885
330,2.1326856830243885
331,2.1326856830243885
332,2.1326856830243885
333,2.1326856830243885
334,2.1326856830243885
335,2.1326856830243885
336,2.1326856830243885
337,2.1326856830243885
338,2.1326856830243885
339,2.1326856830243885
340,2.1083289742780496
341,2.1083289742780496
342,2.1083289742780496
343,2.1083289742780496
344,2.1083289742780496
345,2.094933849966002
346,2.094933849966002
347,2.094933849966002
348,2.094933849966002
349,2.094933849966002
350,2.094933849966002
351,2.094933849966002
352,2.082931992925206
353,2.082931992925206
354,2.082931992925206
355,2.082931992925206
356,2.0438604997543615
357,2.0438604997543615
358,2.0438604997543615
359,2.0438604997543615
360,2.0438604997543615
361,2.040963991498368
362,2.040963991498368
363,2.040963991498368
364,2.040963991498368
365,2.040963991498368
